cpu_usage.py is running!
Memory is higher than 10.0
['PID', 'name', 'memory']
1236 :::: VBoxClient ::: 2.7109375
1239 :::: VBoxClient ::: 0.3515625
1241 :::: VBoxClient ::: 3.23828125
1250 :::: ssh-agent ::: 0.4453125
1312 :::: at-spi-bus-launcher ::: 6.61328125
1318 :::: dbus-daemon ::: 4.34765625
1362 :::: gnome-session-ctl ::: 4.25390625
1369 :::: gnome-session-binary ::: 16.03125
1383 :::: gnome-shell ::: 256.625
1458 :::: ibus-daemon ::: 8.23046875
1464 :::: ibus-dconf ::: 6.97265625
1466 :::: ibus-extension-gtk3 ::: 31.37890625
1468 :::: ibus-x11 ::: 28.10546875
1472 :::: ibus-portal ::: 7.09765625
1486 :::: at-spi2-registryd ::: 6.38671875
1521 :::: xdg-permission-store ::: 6.0859375
1523 :::: gnome-shell-calendar-server ::: 18.25390625
1538 :::: evolution-source-registry ::: 25.16796875
1553 :::: dconf-service ::: 5.46875
1564 :::: evolution-calendar-factory ::: 29.88671875
1586 :::: evolution-addressbook-factory ::: 29.36328125
1600 :::: gjs ::: 26.29296875
1610 :::: gvfsd-trash ::: 8.29296875
1619 :::: gsd-a11y-settings ::: 6.69921875
1620 :::: gsd-color ::: 29.328125
1621 :::: gsd-datetime ::: 15.921875
1622 :::: gsd-housekeeping ::: 7.53125
1624 :::: gsd-keyboard ::: 28.66796875
1625 :::: gsd-media-keys ::: 31.56640625
1627 :::: gsd-power ::: 29.0078125
1629 :::: gsd-print-notifications ::: 11.0234375
1630 :::: gsd-rfkill ::: 6.11328125
1631 :::: gsd-screensaver-proxy ::: 5.91796875
1637 :::: gsd-sharing ::: 9.9921875
1640 :::: gsd-smartcard ::: 10.23828125
1647 :::: gsd-sound ::: 9.21484375
1649 :::: gsd-usb-protection ::: 7.44921875
1651 :::: gsd-wacom ::: 28.046875
1661 :::: gsd-wwan ::: 8.1171875
1663 :::: gsd-xsettings ::: 29.4921875
1674 :::: gsd-disk-utility-notify ::: 5.515625
1688 :::: evolution-alarm-notify ::: 60.03125
1732 :::: snap-store ::: 203.6796875
1737 :::: ibus-engine-simple ::: 6.8984375
1770 :::: colord ::: 14.484375
1795 :::: gsd-printer ::: 14.54296875
1827 :::: xdg-document-portal ::: 6.53125
1964 :::: xdg-desktop-portal ::: 10.6484375
1968 :::: xdg-desktop-portal-gtk ::: 28.5
2894 :::: gnome-terminal-server ::: 61.390625
8417 :::: update-notifier ::: 42.79296875
9908 :::: kworker/1:1-events ::: 0.0
22624 :::: gvfsd-recent ::: 9.49609375
22879 :::: python3 ::: 8.67578125
23124 :::: kworker/u8:3-events_power_efficient ::: 0.0
23165 :::: kworker/2:0-events ::: 0.0
23168 :::: kworker/0:0-events ::: 0.0
23169 :::: kworker/3:0-events ::: 0.0
23274 :::: bash ::: 4.91796875
23343 :::: sudo ::: 4.609375
23344 :::: su ::: 4.171875
23345 :::: bash ::: 5.02734375
23358 :::: kworker/0:1 ::: 0.0
23438 :::: kworker/3:2-cgroup_destroy ::: 0.0
23643 :::: kworker/u8:0-events_unbound ::: 0.0
23651 :::: nautilus ::: 78.40625
23701 :::: kworker/1:2-events ::: 0.0
23702 :::: kworker/2:1-events ::: 0.0
23762 :::: bash ::: 4.890625
23886 :::: kworker/u8:1-events_power_efficient ::: 0.0
23919 :::: tracker-extract ::: 34.6796875
23937 :::: python3 ::: 12.6171875
